capacityNH,capacityRG,PoA
1,1,1.065303821
1,2,1.055285813
1,3,1.052175475
1,4,1.052481143
1,5,1.055067488
1,6,1.059549171
1,7,1.065859657
1,8,1.074101505
1,9,1.084481938
1,10,1.097274783
1,11,1.112785371
1,12,1.118982926
1,13,1.113836288
1,14,1.118824257
1,15,1.094193935
1,16,1.092702779
1,17,1.089796712
1,18,1.057868308
1,19,1.053574222
1,20,1.028737834
1,21,1.025430099
1,22,1.009464892
1,23,1.008192733
1,24,1.006884936
1,25,1.005601971
1,26,1.004403354
1,27,1.003338219
1,28,1.002438305
1,29,1.001715197
1,30,1.001162065
1,31,1.000758682
1,32,1.000477707
2,1,1.087464769
2,2,1.072777204
2,3,1.064982352
2,4,1.061185873
2,5,1.060146701
2,6,1.061309501
2,7,1.064457894
2,8,1.069568159
2,9,1.076736915
2,10,1.086135827
2,11,1.097971956
2,12,1.102246379
2,13,1.097343759
2,14,1.100699073
2,15,1.080671938
2,16,1.078724321
2,17,1.052059273
2,18,1.048270066
2,19,1.026821292
2,20,1.013793807
2,21,1.010748741
2,22,1.009041872
2,23,1.007389152
2,24,1.005851946
2,25,1.004482409
2,26,1.00331585
2,27,1.002366776
2,28,1.001629422
2,29,1.001082085
2,30,1.000693489
2,31,1.000429228
2,32,1.000256806
3,1,1.111436892
3,2,1.093146795
3,3,1.081449178
3,4,1.073948121
3,5,1.069445277
3,6,1.067321617
3,7,1.067274862
3,8,1.069193818
3,9,1.073089802
3,10,1.079050935
3,11,1.08720196
3,12,1.089340148
3,13,1.083968118
3,14,1.08573337
3,15,1.069094124
3,16,1.046785364
3,17,1.043429298
3,18,1.024792023
3,19,1.012972561
3,20,1.011027794
3,21,1.00913121
3,22,1.007344396
3,23,1.005724645
3,24,1.004316085
3,25,1.003143382
3,26,1.002209655
3,27,1.001498817
3,28,1.000981157
3,29,1.000620174
3,30,1.000378796
3,31,1.000223775
3,32,1.000127988
4,1,1.134726835
4,2,1.113693279
4,3,1.098835028
4,4,1.088153373
4,5,1.080543779
4,6,1.075380934
4,7,1.072321272
4,8,1.071199499
4,9,1.071967652
4,10,1.074652058
4,11,1.079314692
4,12,1.079264823
4,13,1.072573684
4,14,1.059870659
4,15,1.041905114
4,16,1.025470743
4,17,1.01501499
4,18,1
4,19,1
4,20,1
4,21,1
4,22,1
4,23,1
4,24,1
4,25,1
4,26,1
4,27,1
4,28,1
4,29,1
4,30,1
4,31,1
4,32,1
5,1,1.154010522
5,2,1.131241833
5,3,1.114106792
5,4,1.100953644
5,5,1.090803345
5,6,1.083065897
5,7,1.077393553
5,8,1.073598214
5,9,1.071599443
5,10,1.071385479
5,11,1.072977005
5,12,1.062396626
5,13,1.053104515
5,14,1.050763153
5,15,1.023271218
5,16,1
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
5,22,1
5,23,1
5,24,1
5,25,1
5,26,1
5,27,1
5,28,1
5,29,1
5,30,1
5,31,1
5,32,1
6,1,1.167249044
6,2,1.143724002
6,3,1.125200439
6,4,1.110337236
6,5,1.098297727
6,6,1.088555682
6,7,1.080787982
6,8,1.074810413
6,9,1.07053446
6,10,1.067932584
6,11,1.049835083
6,12,1.047622816
6,13,1.023301963
6,14,1.021089279
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,1
6,29,1
6,30,1
6,31,1
6,32,1
7,1,1.111447919
7,2,1.096861054
7,3,1.085067552
7,4,1.075493415
7,5,1.06778417
7,6,1.061733917
7,7,1.057240808
7,8,1.054274503
7,9,1.05104696
7,10,1.046074003
7,11,1.039042714
7,12,1.021042508
7,13,1.007133824
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,23,1
7,24,1
7,25,1
7,26,1
7,27,1
7,28,1
7,29,1
7,30,1
7,31,1
7,32,1
8,1,1.106975204
8,2,1.093095547
8,3,1.081554887
8,4,1.071937873
8,5,1.063989445
8,6,1.057568126
8,7,1.052613402
8,8,1.047301505
8,9,1.043372064
8,10,1.037200875
8,11,1.006921688
8,12,1.006318841
8,13,1
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
8,20,1
8,21,1
8,22,1
8,23,1
8,24,1
8,25,1
8,26,1
8,27,1
8,28,1
8,29,1
8,30,1
8,31,1
8,32,1
9,1,1.101233428
9,2,1.08795918
9,3,1.076678117
9,4,1.067093364
9,5,1.059029782
9,6,1.052179131
9,7,1.04589194
9,8,1.040559257
9,9,1.035782428
9,10,1.006027418
9,11,1.005522745
9,12,1.004939206
9,13,1
9,14,1
9,15,1
9,16,1
9,17,1
9,18,1
9,19,1
9,20,1
9,21,1
9,22,1
9,23,1
9,24,1
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,1
9,31,1
9,32,1
10,1,1.094595347
10,2,1.081814057
10,3,1.070774705
10,4,1.061272317
10,5,1.053184609
10,6,1.046187094
10,7,1.040102033
10,8,1.017163428
10,9,1.00518864
10,10,1.004772385
10,11,1.004279712
10,12,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
10,21,1
10,22,1
10,23,1
10,24,1
10,25,1
10,26,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,32,1
11,1,1.087308916
11,2,1.074922076
11,3,1.064428307
11,4,1.055480693
11,5,1.047748381
11,6,1.017736249
11,7,1.004647619
11,8,1.004418577
11,9,1.004084522
11,10,1.003673579
11,11,1.003213235
11,12,1
11,13,1
11,14,1
11,15,1
11,16,1
11,17,1
11,18,1
11,19,1
11,20,1
11,21,1
11,22,1
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,1
11,29,1
11,30,1
11,31,1
11,32,1
12,1,1.079542585
12,2,1.067483811
12,3,1.057332375
12,4,1.048714496
12,5,1.016624483
12,6,1.003861144
12,7,1.003718403
12,8,1.003463808
12,9,1.003128688
12,10,1.002742568
12,11,1.002332842
12,12,1
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,25,1
12,26,1
12,27,1
12,28,1
12,29,1
12,30,1
12,31,1
12,32,1
13,1,1.071423486
13,2,1.061148983
13,3,1.019439455
13,4,1.003027599
13,5,1.0031351
13,6,1.003081835
13,7,1.002906429
13,8,1.00264384
13,9,1.002325997
13,10,1.001981549
13,11,1.0016351
13,12,1
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,20,1
13,21,1
13,22,1
13,23,1
13,24,1
13,25,1
13,26,1
13,27,1
13,28,1
13,29,1
13,30,1
13,31,1
13,32,1
14,1,1.023526081
14,2,1.019425058
14,3,1.002234863
14,4,1.002457605
14,5,1.002499224
14,6,1.002404531
14,7,1.002212957
14,8,1.001959422
14,9,1.001674314
14,10,1.001382951
14,11,1.001104995
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,1
14,20,1
14,21,1
14,22,1
14,23,1
14,24,1
14,25,1
14,26,1
14,27,1
14,28,1
14,29,1
14,30,1
14,31,1
14,32,1
15,1,1.019933689
15,2,1.001462234
15,3,1.001814947
15,4,1.001959709
15,5,1.001949045
15,6,1.00182834
15,7,1.0016365
15,8,1.001406334
15,9,1.001164415
15,10,1.000930846
15,11,1.000719313
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,1
15,23,1
15,24,1
15,25,1
15,26,1
15,27,1
15,28,1
15,29,1
15,30,1
15,31,1
15,32,1
16,1,1.000691429
16,2,1.001191092
16,3,1.001451582
16,4,1.001530784
16,5,1.001482275
16,6,1.00135062
16,7,1.001172091
16,8,1.000975198
16,9,1.000780991
16,10,1.00060354
16,11,1.000450776
16,12,1
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,1
16,19,1
16,20,1
16,21,1
16,22,1
16,23,1
16,24,1
16,25,1
16,26,1
16,27,1
16,28,1
16,29,1
16,30,1
16,31,1
16,32,1
