target,demand,PoA
0.1,-0.9,1
0.1,-0.8,1.000009479
0.1,-0.7,1.000137233
0.1,-0.6,1.000782158
0.1,-0.5,1.002717845
0.1,-0.4,1.006988497
0.1,-0.3,1.014517597
0.1,-0.2,1.025265377
0.1,-0.1,1.037615993
0.1,0,1.049051245
0.1,0.1,1.057613128
0.1,0.2,1.062672731
0.1,0.3,1.064649927
0.1,0.4,1.064381558
0.1,0.5,1.062683219
0.1,0.6,1.060180822
0.1,0.7,1.057298447
0.1,0.8,1.054301513
0.1,0.9,1.051345895
0.1,1,1.048516932
0.1,1.1,1.045856511
0.1,1.2,1.043380643
0.1,1.3,1.041090468
0.1,1.4,1.038978979
0.1,1.5,1.037035063
0.1,1.6,1.035245876
0.1,1.7,1.033598212
0.1,1.8,1.03207926
0.1,1.9,1.030676993
0.1,2,1.029380344
0.15,-0.9,1
0.15,-0.8,1.000007356
0.15,-0.7,1.000137233
0.15,-0.6,1.000782158
0.15,-0.5,1.002717845
0.15,-0.4,1.006988497
0.15,-0.3,1.014517597
0.15,-0.2,1.025265377
0.15,-0.1,1.037615993
0.15,0,1.049051245
0.15,0.1,1.057613128
0.15,0.2,1.062672731
0.15,0.3,1.064649927
0.15,0.4,1.064381558
0.15,0.5,1.062683219
0.15,0.6,1.060180822
0.15,0.7,1.057298447
0.15,0.8,1.054301513
0.15,0.9,1.051345895
0.15,1,1.048516932
0.15,1.1,1.045856511
0.15,1.2,1.043380643
0.15,1.3,1.041090468
0.15,1.4,1.038978979
0.15,1.5,1.037035063
0.15,1.6,1.035245876
0.15,1.7,1.033598212
0.15,1.8,1.03207926
0.15,1.9,1.030676993
0.15,2,1.029380344
0.2,-0.9,1
0.2,-0.8,1
0.2,-0.7,1.000137233
0.2,-0.6,1.000782158
0.2,-0.5,1.002717845
0.2,-0.4,1.006988497
0.2,-0.3,1.014517597
0.2,-0.2,1.025265377
0.2,-0.1,1.037615993
0.2,0,1.049051245
0.2,0.1,1.057613128
0.2,0.2,1.062672731
0.2,0.3,1.064649927
0.2,0.4,1.064381558
0.2,0.5,1.062683219
0.2,0.6,1.060180822
0.2,0.7,1.057298447
0.2,0.8,1.054301513
0.2,0.9,1.051345895
0.2,1,1.048516932
0.2,1.1,1.045856511
0.2,1.2,1.043380643
0.2,1.3,1.041090468
0.2,1.4,1.038978979
0.2,1.5,1.037035063
0.2,1.6,1.035245876
0.2,1.7,1.033598212
0.2,1.8,1.03207926
0.2,1.9,1.030676993
0.2,2,1.029380344
0.25,-0.9,1
0.25,-0.8,1
0.25,-0.7,1
0.25,-0.6,1.000782158
0.25,-0.5,1.002717845
